ID,Tittle,Category ID,Store Id,RedirectUrl,Description,,type of coupon,MetaTittle,MetaKeyword,MetaDescription,Code,Image,ExpiryDate,Position,Status,UserID,Date,UpdateDate,ShowOnHome,TittlePostFix,Prefix,Postfix,Tag,Details,Desp
53,0.5,1,12,www.kiatoo.com,50% off Refurbished Hybrid PCs,,,,,,,,45854
54,0.1,1,12,www.kiatoo.com,10% discount,Offer up to 10% off Refurbished Core i7 Desktop Computers,,,,,,,
55,0.1,1,13,lamicallshop.com,10% Code promo Lamicall,,,,,,,,45657
56,0.1,1,13,lamicallshop.com,10% Lamicall discount code,,,,,,,,45657
57,Free delivery,1,13,lamicallshop.com,Free delivery on all products,,,,,,,,
58,0.15,1,13,lamicallshop.com,15% Lamicall Discount Code,,,,,,,,45658
59,Promo,1,13,lamicallshop.com,Lamicall Air Protector series from €28.95,,,,,,,,45658
60,699,1,14,www.magicrecycle.com,Iphone 13 pro 256 GB from €699,,,,,,,,45874
61,459,1,14,www.magicrecycle.com,Galaxy s23 5g 128gb from €459,,,,,,,,45887
62,489,1,14,www.magicrecycle.com,Galaxy s22 ultra 5g 1024gb from €489,,,,,,,,45881
63,499,1,14,www.magicrecycle.com,Galaxy s23+ 5g 256gb from €499,,,,,,,,46188
64,859,1,14,www.magicrecycle.com,Iphone 13 pro-1024go from €859,,,,,,,,46180
65,0.13,1,16,eshop.orange.be,"13% reduction on the Internet, Mobile, My Confort Service pack",,,,,,,,47717
66,45,1,16,eshop.orange.be,Internet at home per month from €45,,,,,,,,47408
67,"24,99€",1,16,eshop.orange.be,UltraGaming per month from €24.99,,,,,,,," July 19, 2039"
68,20,1,16,eshop.orange.be,Flybox per month from 20€,,,,,,,,47372
69,19,1,16,eshop.orange.be,Orange TV per month from €19,,,,,,,,47709
70,0.3,2,17,www.adidas.fr,30% discount,Up to 30% off men's sneakers,,,,,,,45847
71,0.1,2,17,www.adidas.fr,10% off when you subscribe to the newsletter,,,,,,,,
72,Free delivery,2,17,www.adidas.fr,Free delivery from 50€ of purchases,,,,,,,,
73,0.5,2,17,www.adidas.fr,50% discount,50% discount offer on men's pants,,,,,,,45876
74,33,2,17,www.adidas.fr,Men's bag from €33,,,,,,,,45890
75,196,2,18,barrocoitalia.com,Men's shirts from €196,,,,,,,,45875
